Voltage,180C,195C,210C
37.2,2.96E-08,1.24E-08,7.16E-09
37.3,2.90E-08,1.20E-08,6.99E-09
37.4,2.82E-08,1.16E-08,6.80E-09
37.5,2.74E-08,1.12E-08,6.67E-09
37.6,2.65E-08,1.06E-08,6.42E-09
37.7,2.55E-08,1.02E-08,6.23E-09
37.8,2.46E-08,9.81E-09,6.08E-09
37.9,2.37E-08,9.46E-09,5.95E-09
38,2.28E-08,9.03E-09,5.74E-09
38.1,2.20E-08,8.74E-09,5.62E-09
38.2,2.12E-08,8.46E-09,5.53E-09
38.3,2.05E-08,8.27E-09,5.44E-09
38.4,1.99E-08,8.10E-09,5.34E-09
38.5,1.94E-08,8.02E-09,5.32E-09
38.6,1.90E-08,7.98E-09,5.27E-09
38.7,1.89E-08,8.00E-09,5.30E-09
38.8,1.87E-08,8.09E-09,5.33E-09
38.9,1.88E-08,8.26E-09,5.38E-09
39,1.89E-08,8.45E-09,5.45E-09
39.1,1.92E-08,8.70E-09,5.62E-09
39.2,1.96E-08,8.99E-09,5.76E-09
39.3,2.01E-08,9.34E-09,5.92E-09
39.4,2.06E-08,9.75E-09,6.04E-09
39.5,2.13E-08,1.02E-08,6.34E-09
39.6,2.22E-08,1.06E-08,6.53E-09
39.7,2.31E-08,1.12E-08,6.77E-09
39.8,2.42E-08,1.17E-08,7.01E-09
39.9,2.54E-08,1.23E-08,7.29E-09
40,2.67E-08,1.30E-08,7.69E-09
